# visible | band                    | dataset                 | pol   | sampleModel | scalingOffset | scalingFactor | typicaMin | typicalMax | cyclic | fillValue | validExpr | unit      | decription                                                                                                                                | flagCoding    | flags
# geophysical parameters                                                                                                                                            *
# *       | Equiv_ftprt_diam        | Equiv_ftprt_diam        | *     | *           | *             | *             | 30.0      | 90.0       | *      | -999.0    | *         | m         | Equivalent footprint diameter                                                                                                             | *             | *
# *       | Mean_acq_time           | Mean_acq_time           | *     | *           | *             | *             | 2610.0    | 2615.0     | *      | -999.0    | *         | dd        | Mean acquisition time                                                                                                                     | *             | *
  *       | SSS1                    | SSS1                    | *     | *           | *             | *             | 0.0       | 40.0       | *      | -999.0    | *         | psu       | Sea surface salinity using Roughness Model 1                                                                                              | *             | *
  *       | Control_Flags_1         | Control_Flags_1         | *     | *           | *             | *             | 0         | 4294967295 | *      | 0.0       | *         | *         | Control Flags for SSS retrieval with Forward Model 1                                                                                      | Control_Flags | DBL_SM_XXXX_MIR_OSUDP2_0300_control
  *       | Control_Flags_2         | Control_Flags_2         | *     | *           | *             | *             | 0         | 4294967295 | *      | 0.0       | *         | *         | Control Flags for SSS retrieval with Forward Model 2                                                                                      | Control_Flags | DBL_SM_XXXX_MIR_OSUDP2_0300_control
  *       | Control_Flags_3         | Control_Flags_3         | *     | *           | *             | *             | 0         | 4294967295 | *      | 0.0       | *         | *         | Control Flags for SSS retrieval with Forward Model 3                                                                                      | Control_Flags | DBL_SM_XXXX_MIR_OSUDP2_0300_control
  *       | Control_Flags_4         | Control_Flags_4         | *     | *           | *             | *             | 0         | 4294967295 | *      | 0.0       | *         | *         | Control Flags for SSS retrieval with Cardioid Model                                                                                       | Control_Flags | DBL_SM_XXXX_MIR_OSUDP2_0300_control
# confidence descriptors
  *       | Dg_chi2_1               | Dg_chi2_1               | *     | *           | *             | *             | 1.0       | 1000.0     | *      | 0.0       | *         | *         | Retrieval fit quality index with Forward Model 1                                                                                          | *             | *
  *       | Dg_chi2_2               | Dg_chi2_2               | *     | *           | *             | *             | 1.0       | 1000.0     | *      | 0.0       | *         | *         | Retrieval fit quality index with Forward Model 2                                                                                          | *             | *
  *       | Dg_chi2_3               | Dg_chi2_3               | *     | *           | *             | *             | 1.0       | 1000.0     | *      | 0.0       | *         | *         | Retrieval fit quality index with Forward Model 3                                                                                          | *             | *
  *       | Dg_chi2_Acard           | Dg_chi2_Acard           | *     | *           | *             | *             | 1.0       | 1000.0     | *      | 0.0       | *         | *         | Retrieval fit quality index with Cardiod Model                                                                                            | *             | *
  *       | Dg_chi2_P_1             | Dg_chi2_P_1             | *     | *           | *             | *             | 1.0       | 1000.0     | *      | 0.0       | *         | *         | Normalised chi2 high value acceptability probability with Forward Model 1, scaled by multiplying with 1000                                | *             | *
  *       | Dg_chi2_P_2             | Dg_chi2_P_2             | *     | *           | *             | *             | 1.0       | 1000.0     | *      | 0.0       | *         | *         | Normalised chi2 high value acceptability probability with Forward Model 2, scaled by multiplying with 1000                                | *             | *
  *       | Dg_chi2_P_3             | Dg_chi2_P_3             | *     | *           | *             | *             | 1.0       | 1000.0     | *      | 0.0       | *         | *         | Normalised chi2 high value acceptability probability with Forward Model 3, scaled by multiplying with 1000                                | *             | *
  *       | Dg_chi2_P_Acard         | Dg_chi2_P_Acard         | *     | *           | *             | *             | 1.0       | 1000.0     | *      | 0.0       | *         | *         | Normalised chi2 high value acceptability probability with Cardiod Model, scaled by multiplying with 1000                                  | *             | *
  *       | Dg_quality_SSS1         | Dg_quality_SSS_1        | *     | *           | *             | *             | 20.0      | 15000.0    | *      | 0.0       | *         | *         | Quality index for SSS1                                                                                                                    | *             | *
  *       | Dg_quality_SSS2         | Dg_quality_SSS_2        | *     | *           | *             | *             | 20.0      | 15000.0    | *      | 0.0       | *         | *         | Quality index for SSS2                                                                                                                    | *             | *
  *       | Dg_quality_SSS3         | Dg_quality_SSS_3        | *     | *           | *             | *             | 20.0      | 15000.0    | *      | 0.0       | *         | *         | Quality index for SSS3                                                                                                                    | *             | *
  *       | Dg_quality_Acard        | Dg_quality_Acard        | *     | *           | *             | *             | 20.0      | 15000.0    | *      | 0.0       | *         | *         | Quality index for Acard                                                                                                                   | *             | *
  *       | Dg_num_iter_1           | Dg_num_iter_1           | *     | *           | *             | *             | 1.0       | 21.0       | *      | 0.0       | *         | *         | Number of iterations for the retrieval of SSS with Forward Model 1                                                                        | *             | *
  *       | Dg_num_iter_2           | Dg_num_iter_2           | *     | *           | *             | *             | 1.0       | 21.0       | *      | 0.0       | *         | *         | Number of iterations for the retrieval of SSS with Forward Model 2                                                                        | *             | *
  *       | Dg_num_iter_3           | Dg_num_iter_3           | *     | *           | *             | *             | 1.0       | 21.0       | *      | 0.0       | *         | *         | Number of iterations for the retrieval of SSS with Forward Model 3                                                                        | *             | *
  *       | Dg_num_iter_4           | Dg_num_iter_4           | *     | *           | *             | *             | 1.0       | 21.0       | *      | 0.0       | *         | *         | Number of iterations for the retrieval of SSS with Cardiod Model                                                                          | *             | *
  *       | Dg_num_meas_L1c         | Dg_num_meas_l1c         | *     | *           | *             | *             | 1.0       | 300.0      | *      | 0.0       | *         | *         | Number of  measurements available in  L1c product                                                                                         | *             | *
  *       | Dg_num_meas_valid       | Dg_num_meas_valid       | *     | *           | *             | *             | 1.0       | 300.0      | *      | 0.0       | *         | *         | Number of valid measurement available for SSS retrieval                                                                                   | *             | *
  *       | Dg_border_fov           | Dg_border_fov           | *     | *           | *             | *             | 1.0       | 300.0      | *      | 0.0       | *         | *         | Number of valid measurements with BORDER_FOV flag raised                                                                                  | *             | *
  *       | Dg_RFI_L2               | Dg_RFI_L2               | *     | *           | *             | *             | 1.0       | 300.0      | *      | 0.0       | *         | *         | Number of measurements suspected of being contaminated by RFI                                                                             | *             | *
  *       | Dg_af_fov               | Dg_af_fov               | *     | *           | *             | *             | 1.0       | 300.0      | *      | 0.0       | *         | *         | Number of valid measurements with AF_FOV flag raised                                                                                      | *             | *
  *       | Dg_sun_tails            | Dg_sun_tails            | *     | *           | *             | *             | 1.0       | 300.0      | *      | 0.0       | *         | *         | Number of measurements with SUN_TAILS flag raised                                                                                         | *             | *
  *       | Dg_sun_glint_area       | Dg_sun_glint_area       | *     | *           | *             | *             | 1.0       | 300.0      | *      | 0.0       | *         | *         | Number of measurements with SUN_GLINT_AREA flag raised                                                                                    | *             | *
  *       | Dg_sun_glint_fov        | Dg_sun_glint_fov        | *     | *           | *             | *             | 1.0       | 300.0      | *      | 0.0       | *         | *         | Number of measurements with SUN_GLINT_FOV flag raised                                                                                     | *             | *
  *       | Dg_sun_glint_L2         | Dg_sun_glint_L2         | *     | *           | *             | *             | 1.0       | 300.0      | *      | 0.0       | *         | *         | Number of  measurements with  L2 sunglint flag raised                                                                                     | *             | *
  *       | Dg_Suspect_ice          | Dg_Suspect_ice          | *     | *           | *             | *             | 1.0       | 300.0      | *      | 0.0       | *         | *         | Number of suspected ice contaminated measurements                                                                                         | *             | *
  *       | Dg_galactic_Noise_Error | Dg_galactic_Noise_Error | *     | *           | *             | *             | 1.0       | 300.0      | *      | 0.0       | *         | *         | Number of measurements discarded due to errors in galactic noise                                                                          | *             | *
  *       | Dg_galactic_Noise_Pol   | Dg_galactic_Noise_Pol   | *     | *           | *             | *             | 1.0       | 300.0      | *      | 0.0       | *         | *         | Number of measurements with Fm_gal_noise_pol flag raised                                                                                  | *             | *
  *       | Dg_moonglint            | Dg_moonglint            | *     | *           | *             | *             | 1.0       | 300.0      | *      | 0.0       | *         | *         | Number of measurements with L2 moonglint raised                                                                                           | *             | *
# science flags
  *       | Science_Flags_1         | Science_Flags_1         | *     | *           | *             | *             | 0         | 4294967295 | *      | 0.0       | *         | *         | Science Flags for SSS retrieval with Forward Model 1                                                                                      | Science_Flags | DBL_SM_XXXX_MIR_OSUDP2_0200_science
  *       | Science_Flags_2         | Science_Flags_2         | *     | *           | *             | *             | 0         | 4294967295 | *      | 0.0       | *         | *         | Science Flags for SSS retrieval with Forward Model 2                                                                                      | Science_Flags | DBL_SM_XXXX_MIR_OSUDP2_0200_science
  *       | Science_Flags_3         | Science_Flags_3         | *     | *           | *             | *             | 0         | 4294967295 | *      | 0.0       | *         | *         | Science Flags for SSS retrieval with Forward Model 3                                                                                      | Science_Flags | DBL_SM_XXXX_MIR_OSUDP2_0200_science
  *       | Science_Flags_4         | Science_Flags_4         | *     | *           | *             | *             | 0         | 4294967295 | *      | 0.0       | *         | *         | Science Flags for SSS retrieval with Cardioid Model                                                                                       | Science_Flags | DBL_SM_XXXX_MIR_OSUDP2_0200_science
# science descriptors
  *       | Dg_sky                  | Dg_sky                  | *     | *           | *             | *             | 1.0       | 300.0      | *      | 0.0       | *         | *         | Count measurements with specular direction toward a strong galactic source                                                                | *             | *
# other
  *       | Grid_Point_ID           | Grid_Point_ID           | *     | *           | *             | *             | 1         | 9262145    | *      | 0         | *         | *         | Grid point ID                                                                                                                             | *             | *
  *       | Latitude                | Latitude                | *     | *           | *             | *             | -90.0     | 90.0       | *      | -999.0    | *         | deg       | Latitude (-90, 90)                                                                                                                        | *             | *
  *       | Longitude               | Longitude               | *     | *           | *             | *             | -180.0    | 180.0      | true   | -999.0    | *         | deg       | Longitude (-180, 180)                                                                                                                     | *             | *
