# visible | band                            | dataset                    | pol   | sampleModel | scalingOffset | scalingFactor     | typicaMin | typicalMax | cyclic | fillValue | validExpr | unit      | decription                                                                                                                                                    | flagCoding    | flags
  *       | BT_Value_X                      | BT_Value_Real              | 0     | *           | *             | *                 | 0.0       | 350.0      | *      | -999.0    | *         | K         | Brightness temperature measurement over current Earth fixed grid point, obtained by DFT interpolation from L1b data, antenna X polarisation                   | *             | *
  *       | Geometric_Rotation_Angle_XY     | Geometric_Rotation_Angle   | 2     | *           | 0.0           | 0.0054931640625   | 0.0       | 360.0      | true   | 0.0       | *         | deg       | Geometric rotation angle value corresponding to the measured BT value over current Earth fixed grid point, antenna XY polarisation                            | *             | *
  *       | Footprint_Axis1_X               | Footprint_Axis1            | 0     | *           | 0.0           | 0.00152587890625  | 20.0      | 35.0       | *      | 0.0       | *         | km        | Elliptical footprint major semi-axis value, antenna X polarisation                                                                                            | *             | *
  *       | Footprint_Axis1_Y               | Footprint_Axis1            | 1     | *           | 0.0           | 0.00152587890625  | 20.0      | 35.0       | *      | 0.0       | *         | km        | Elliptical footprint major semi-axis value, antenna Y polarisation                                                                                            | *             | *
  *       | Footprint_Axis1_XY              | Footprint_Axis1            | 2     | *           | 0.0           | 0.00152587890625  | 20.0      | 35.0       | *      | 0.0       | *         | km        | Elliptical footprint major semi-axis value, antenna XY polarisation                                                                                           | *             | *
  *       | Footprint_Axis2_X               | Footprint_Axis2            | 0     | *           | 0.0           | 0.00152587890625  | 20.0      | 35.0       | *      | 0.0       | *         | km        | Elliptical footprint minor semi-axis value, antenna X polarisation                                                                                            | *             | *
  *       | Footprint_Axis2_Y               | Footprint_Axis2            | 1     | *           | 0.0           | 0.00152587890625  | 20.0      | 35.0       | *      | 0.0       | *         | km        | Elliptical footprint minor semi-axis value, antenna Y polarisation                                                                                            | *             | *
  *       | Footprint_Axis2_XY              | Footprint_Axis2            | 2     | *           | 0.0           | 0.00152587890625  | 20.0      | 35.0       | *      | 0.0       | *         | km        | Elliptical footprint minor semi-axis value, antenna XY polarisation                                                                                           | *             | *
  *       | Flags                           | Flags                      | 4     | *           | 0.0           | *                 | 0.0       | 65535.0    | *      | 0.0       | *         | *         | L1c flags applicable to the pixel for this particular integration time                                                                                        | Flags         | DBL_SM_XXXX_MIR_XXXF1C_0200_flags
  *       | BT_Value_H                      | *                          | 0     | *           | *             | *                 | 0.0       | 350.0      | *      | -999.0    | *         | K         | Brightness temperature measurement over current Earth fixed grid point, ground H polarisation                                                                 | *             | *
  *       | BT_Value_V                      | *                          | 1     | *           | *             | *                 | 0.0       | 350.0      | *      | -999.0    | *         | K         | Brightness temperature measurement over current Earth fixed grid point, ground V polarisation                                                                 | *             | *
  *       | BT_Value_HV_Real                | *                          | 2     | *           | *             | *                 | -10.0     | 10.0       | *      | -999.0    | *         | K         | Brightness temperature measurement over current Earth fixed grid point, ground HV polarisation, real value                                                    | *             | *
  *       | BT_Value_HV_Imag                | *                          | 2     | *           | *             | *                 | -10.0     | 10.0       | *      | -999.0    | *         | K         | Brightness temperature measurement over current Earth fixed grid point, ground HV polarisation, imaginary value                                               | *             | *
  *       | Pixel_Radiometric_Accuracy_H    | *                          | 0     | *           | *             | *                 | 0.0       | 5.0        | *      | 0.0       | *         | K         | Error accuracy measurement in the Brightness Temperature, ground H polarisation                                                                               | *             | *
  *       | Pixel_Radiometric_Accuracy_V    | *                          | 1     | *           | *             | *                 | 0.0       | 5.0        | *      | 0.0       | *         | K         | Error accuracy measurement in the Brightness Temperature, ground V polarisation                                                                               | *             | *
  *       | Pixel_Radiometric_Accuracy_HV   | *                          | 2     | *           | *             | *                 | 0.0       | 5.0        | *      | 0.0       | *         | K         | Error accuracy measurement in the Brightness Temperature, ground HV polarisation                                                                              | *             | *
  *       | Stokes_1                        | *                          | *     | *           | *             | *                 | 0.0       | 350.0      | *      | -999.0    | *         | K         | 1st Stokes parameter over current Earth fixed grid point                                                                                                      | *             | *
  *       | Stokes_2                        | *                          | *     | *           | *             | *                 | -100.0    | 100.0      | *      | -999.0    | *         | K         | 2nd Stokes parameter over current Earth fixed grid point                                                                                                      | *             | *
  *       | Stokes_3                        | *                          | *     | *           | *             | *                 | -10.0     | 10.0       | *      | -999.0    | *         | K         | 3rd Stokes parameter over current Earth fixed grid point                                                                                                      | *             | *
  *       | Stokes_4                        | *                          | *     | *           | *             | *                 | -10.0     | 10.0       | *      | -999.0    | *         | K         | 4th Stokes parameter over current Earth fixed grid point                                                                                                      | *             | *
